Time(s),X(m),Y(m),Theta(rad),Theta(deg)
174.568,13.710006,0.762845,-0.009884,-0.566
174.584,13.709940,0.762806,-0.010039,-0.575
174.602,13.709838,0.762786,-0.010165,-0.582
174.647,13.709696,0.762803,-0.010028,-0.575
174.663,13.709666,0.762728,-0.010348,-0.593
174.683,13.709634,0.762730,-0.010426,-0.597
174.703,13.709595,0.762740,-0.010316,-0.591
174.724,13.709681,0.762731,-0.010304,-0.590
174.744,13.709755,0.762705,-0.010564,-0.605
174.765,13.709804,0.762728,-0.010321,-0.591
174.785,13.709921,0.762663,-0.010596,-0.607
174.809,13.710023,0.762681,-0.010587,-0.607
174.837,13.710213,0.762711,-0.010372,-0.594
174.859,13.710403,0.762655,-0.010683,-0.612
174.881,13.710579,0.762695,-0.010559,-0.605
174.900,13.710828,0.762744,-0.010427,-0.597
174.917,13.711045,0.762689,-0.010702,-0.613
174.940,13.711233,0.762712,-0.010532,-0.603
174.963,13.711495,0.762723,-0.010416,-0.597
174.981,13.711622,0.762725,-0.010606,-0.608
175.004,13.711713,0.762749,-0.010631,-0.609
175.027,13.711799,0.762742,-0.010673,-0.612
175.050,13.711690,0.762736,-0.010868,-0.623
175.073,13.711651,0.762719,-0.010940,-0.627
175.114,13.711558,0.762722,-0.011158,-0.639
175.137,13.711559,0.762711,-0.011079,-0.635
175.168,13.711539,0.762731,-0.011260,-0.645
175.190,13.711560,0.762718,-0.011189,-0.641
175.209,13.711506,0.762706,-0.011366,-0.651
175.227,13.711397,0.762695,-0.011471,-0.657
175.250,13.711327,0.762700,-0.011644,-0.667
175.269,13.711261,0.762694,-0.011711,-0.671
175.288,13.711246,0.762706,-0.011647,-0.667
175.309,13.711249,0.762731,-0.011794,-0.676
175.324,13.711212,0.762722,-0.011822,-0.677
175.345,13.711106,0.762713,-0.011904,-0.682
175.366,13.711104,0.762711,-0.011944,-0.684
175.388,13.711101,0.762709,-0.011999,-0.687
175.411,13.711104,0.762714,-0.011984,-0.687
175.434,13.711194,0.762730,-0.012017,-0.689
175.451,13.711204,0.762739,-0.011985,-0.687
175.473,13.711183,0.762750,-0.012019,-0.689
175.495,13.711153,0.762736,-0.012174,-0.698
175.515,13.711073,0.762733,-0.012249,-0.702
175.538,13.711060,0.762750,-0.012224,-0.700
175.561,13.711050,0.762752,-0.012336,-0.707
175.587,13.711017,0.762756,-0.012350,-0.708
175.609,13.711058,0.762755,-0.012424,-0.712
175.631,13.711104,0.762758,-0.012387,-0.710
175.652,13.711196,0.762773,-0.012429,-0.712
175.669,13.711201,0.762783,-0.012392,-0.710
175.691,13.711165,0.762785,-0.012447,-0.713
175.716,13.711123,0.762795,-0.012598,-0.722
175.737,13.711072,0.762798,-0.012596,-0.722
175.759,13.711056,0.762797,-0.012672,-0.726
175.783,13.711070,0.762795,-0.012629,-0.724
175.802,13.711063,0.762812,-0.012774,-0.732
175.825,13.711065,0.762808,-0.012692,-0.727
175.846,13.711038,0.762810,-0.012776,-0.732
175.870,13.711014,0.762812,-0.012748,-0.730
175.890,13.710989,0.762804,-0.012908,-0.740
175.909,13.710967,0.762801,-0.012909,-0.740
175.930,13.710939,0.762799,-0.012980,-0.744
175.955,13.710957,0.762819,-0.012954,-0.742
175.973,13.710920,0.762809,-0.012965,-0.743
175.996,13.710876,0.762800,-0.013054,-0.748
176.019,13.710833,0.762792,-0.013157,-0.754
176.043,13.710816,0.762799,-0.013122,-0.752
176.064,13.710825,0.762799,-0.013177,-0.755
176.086,13.710847,0.762813,-0.013119,-0.752
176.112,13.710872,0.762819,-0.013173,-0.755
176.134,13.710865,0.762823,-0.013183,-0.755
176.156,13.710863,0.762828,-0.013260,-0.760
176.178,13.710860,0.762829,-0.013234,-0.758
176.199,13.710877,0.762834,-0.013281,-0.761
176.221,13.710895,0.762838,-0.013244,-0.759
176.243,13.710888,0.762844,-0.013351,-0.765
176.265,13.710861,0.762844,-0.013371,-0.766
176.283,13.710809,0.762838,-0.013447,-0.770
176.301,13.710789,0.762838,-0.013434,-0.770
176.326,13.710772,0.762838,-0.013423,-0.769
176.350,13.710782,0.762841,-0.013445,-0.770
176.370,13.710799,0.762844,-0.013412,-0.768
176.394,13.710769,0.762851,-0.013579,-0.778
176.414,13.710742,0.762856,-0.013608,-0.780
176.431,13.710714,0.762856,-0.013645,-0.782
176.453,13.710733,0.762856,-0.013664,-0.783
176.469,13.710729,0.762865,-0.013615,-0.780
176.490,13.710708,0.762872,-0.013722,-0.786
176.514,13.710637,0.762862,-0.013766,-0.789
176.536,13.710544,0.762846,-0.013865,-0.794
176.558,13.710492,0.762838,-0.013922,-0.798
176.579,13.710479,0.762833,-0.013971,-0.800
176.602,13.710532,0.762846,-0.013931,-0.798
176.624,13.710579,0.762867,-0.013847,-0.793
176.645,13.710584,0.762869,-0.013859,-0.794
176.667,13.710569,0.762864,-0.013879,-0.795
176.688,13.710519,0.762856,-0.013918,-0.797
176.710,13.710505,0.762853,-0.013962,-0.800
176.736,13.710484,0.762873,-0.013980,-0.801
176.762,13.710430,0.762866,-0.014095,-0.808
176.781,13.710365,0.762860,-0.014111,-0.808
176.805,13.710278,0.762844,-0.014212,-0.814
176.833,13.710245,0.762844,-0.014230,-0.815
176.851,13.710243,0.762844,-0.014260,-0.817
176.874,13.710272,0.762846,-0.014225,-0.815
176.895,13.710269,0.762857,-0.014183,-0.813
176.917,13.710250,0.762861,-0.014208,-0.814
176.938,13.710212,0.762857,-0.014267,-0.817
176.959,13.710170,0.762873,-0.014342,-0.822
176.980,13.710110,0.762865,-0.014374,-0.824
177.003,13.710030,0.762840,-0.014489,-0.830
177.021,13.709947,0.762800,-0.014669,-0.840
177.038,13.709849,0.762755,-0.014871,-0.852
177.059,13.709729,0.762698,-0.015129,-0.867
177.081,13.709582,0.762629,-0.015440,-0.885
177.099,13.709427,0.762591,-0.015785,-0.904
177.126,13.709285,0.762541,-0.016099,-0.922
177.149,13.709149,0.762510,-0.016394,-0.939
177.167,13.709018,0.762506,-0.016549,-0.948
177.190,13.708822,0.762491,-0.016607,-0.952
177.208,13.708600,0.762458,-0.016754,-0.960
177.230,13.708324,0.762433,-0.016866,-0.966
177.249,13.707988,0.762396,-0.017047,-0.977
177.271,13.707621,0.762346,-0.017285,-0.990
177.290,13.707232,0.762249,-0.017727,-1.016
177.314,13.706788,0.762071,-0.018604,-1.066
177.338,13.706300,0.761905,-0.019353,-1.109
177.355,13.705746,0.761713,-0.020208,-1.158
177.373,13.705094,0.761472,-0.021290,-1.220
177.391,13.704334,0.761188,-0.022715,-1.301
177.413,13.703402,0.760881,-0.024078,-1.380
177.441,13.702296,0.760478,-0.025918,-1.485
177.461,13.701027,0.760064,-0.027956,-1.602
177.481,13.699596,0.759570,-0.030336,-1.738
177.503,13.697944,0.759028,-0.033107,-1.897
177.528,13.696115,0.758330,-0.036323,-2.081
177.550,13.694158,0.757506,-0.040349,-2.312
177.569,13.691986,0.757011,-0.043102,-2.470
177.591,13.689803,0.756236,-0.046821,-2.683
177.612,13.687439,0.755339,-0.051312,-2.940
177.635,13.684924,0.754625,-0.055336,-3.171
177.653,13.682362,0.753990,-0.058690,-3.363
177.675,13.679730,0.753458,-0.061885,-3.546
177.697,13.677078,0.752696,-0.065931,-3.778
177.715,13.674334,0.751659,-0.071137,-4.076
177.735,13.671341,0.750701,-0.076494,-4.383
177.757,13.668264,0.749842,-0.081669,-4.679
177.774,13.664958,0.749269,-0.085924,-4.923
177.794,13.661503,0.748558,-0.090470,-5.184
177.820,13.658080,0.747512,-0.096427,-5.525
177.841,13.654526,0.746456,-0.102636,-5.881
177.867,13.650808,0.745285,-0.109385,-6.267
177.884,13.646984,0.744151,-0.116428,-6.671
177.905,13.643013,0.743227,-0.122852,-7.039
177.926,13.638929,0.741957,-0.130621,-7.484
177.944,13.634613,0.741022,-0.137551,-7.881
177.965,13.630186,0.740295,-0.143577,-8.226
177.989,13.625935,0.739023,-0.151613,-8.687
178.009,13.621610,0.737931,-0.159602,-9.145
178.027,13.617110,0.736726,-0.167895,-9.620
178.046,13.612692,0.735713,-0.175776,-10.071
178.066,13.608249,0.734265,-0.185279,-10.616
178.086,13.603646,0.733344,-0.193532,-11.089
178.108,13.598973,0.733051,-0.199273,-11.418
178.134,13.594448,0.732324,-0.206091,-11.808
178.157,13.590304,0.730895,-0.215783,-12.363
178.176,13.585992,0.729934,-0.224863,-12.884
178.196,13.581883,0.728462,-0.234888,-13.458
178.218,13.577837,0.726929,-0.245768,-14.081
178.239,13.573892,0.725069,-0.257500,-14.754
178.260,13.569956,0.723148,-0.270310,-15.488
178.280,13.566026,0.721257,-0.282715,-16.198
178.299,13.562487,0.719104,-0.296238,-16.973
178.322,13.558761,0.716976,-0.309785,-17.749
178.343,13.555501,0.714456,-0.324488,-18.592
178.360,13.552079,0.712153,-0.338857,-19.415
178.382,13.549092,0.709552,-0.353923,-20.278
178.400,13.545954,0.707144,-0.368716,-21.126
178.421,13.542918,0.704552,-0.384303,-22.019
178.446,13.539596,0.702576,-0.398544,-22.835
178.461,13.536844,0.700205,-0.412879,-23.656
178.482,13.533901,0.698067,-0.426905,-24.460
178.501,13.531101,0.695618,-0.441399,-25.290
178.521,13.528194,0.693338,-0.456273,-26.143
178.545,13.525285,0.690886,-0.471377,-27.008
178.562,13.522260,0.688654,-0.486413,-27.869
178.591,13.519321,0.686342,-0.501218,-28.718
178.604,13.516499,0.684423,-0.515119,-29.514
178.624,13.513550,0.682450,-0.528830,-30.300
178.646,13.510754,0.680529,-0.542741,-31.097
178.660,13.507603,0.678854,-0.556340,-31.876
178.682,13.505166,0.677249,-0.569020,-32.602
178.702,13.502428,0.675805,-0.581150,-33.297
178.725,13.499389,0.674207,-0.593933,-34.030
178.747,13.496622,0.672857,-0.605918,-34.717
178.764,13.493842,0.671802,-0.617193,-35.363
178.787,13.491074,0.671499,-0.626256,-35.882
178.808,13.488897,0.672152,-0.631108,-36.160
178.826,13.486647,0.673097,-0.634670,-36.364
178.849,13.484304,0.673900,-0.638105,-36.561
178.867,13.482096,0.675167,-0.640144,-36.678
178.888,13.479788,0.676138,-0.643014,-36.842
178.911,13.477843,0.677617,-0.643723,-36.883
178.928,13.475905,0.678996,-0.643704,-36.882
178.951,13.474153,0.679953,-0.644938,-36.952
178.970,13.472974,0.681192,-0.644286,-36.915
178.993,13.471621,0.681700,-0.645723,-36.997
179.008,13.470244,0.682201,-0.647727,-37.112
179.027,13.468680,0.682740,-0.650148,-37.251
179.045,13.466904,0.683360,-0.652696,-37.397
179.067,13.464896,0.684057,-0.655644,-37.566
179.093,13.462709,0.684851,-0.658832,-37.748
179.111,13.460588,0.685592,-0.662123,-37.937
179.133,13.458647,0.686207,-0.665285,-38.118
179.156,13.456540,0.686928,-0.668591,-38.307
179.180,13.454330,0.687840,-0.671749,-38.488
179.199,13.452313,0.688805,-0.674321,-38.636
179.219,13.451312,0.689868,-0.674172,-38.627
179.240,13.450850,0.690837,-0.671883,-38.496
179.260,13.450634,0.691273,-0.670969,-38.444
179.282,13.450452,0.691354,-0.671448,-38.471
179.302,13.450237,0.691577,-0.671629,-38.481
179.323,13.449980,0.691832,-0.671817,-38.492
179.342,13.449727,0.692011,-0.672085,-38.508
179.367,13.449485,0.692159,-0.672483,-38.530
179.388,13.449319,0.692216,-0.672882,-38.553
179.405,13.449140,0.692295,-0.673287,-38.577
179.425,13.448996,0.692376,-0.673656,-38.598
179.444,13.448832,0.692493,-0.673924,-38.613
179.465,13.448628,0.692605,-0.674250,-38.632
179.485,13.448391,0.692771,-0.674537,-38.648
179.503,13.448150,0.692947,-0.674796,-38.663
179.525,13.447941,0.693102,-0.674981,-38.674
179.547,13.447756,0.693168,-0.675456,-38.701
179.567,13.447616,0.693223,-0.675860,-38.724
179.590,13.447487,0.693269,-0.676276,-38.748
179.608,13.447337,0.693339,-0.676681,-38.771
179.629,13.447145,0.693440,-0.677097,-38.795
179.648,13.446825,0.693628,-0.677566,-38.822
179.669,13.446431,0.693846,-0.678278,-38.862
179.689,13.445926,0.694107,-0.679025,-38.905
179.708,13.445326,0.694374,-0.679956,-38.959
179.729,13.444557,0.694745,-0.681143,-39.027
179.748,13.443627,0.695099,-0.682634,-39.112
179.768,13.442499,0.695526,-0.684567,-39.223
179.792,13.441199,0.695974,-0.686645,-39.342
179.810,13.439739,0.696530,-0.688784,-39.464
179.831,13.438158,0.697091,-0.691431,-39.616
179.852,13.436330,0.697802,-0.694134,-39.771
179.871,13.434330,0.698580,-0.697176,-39.945
179.893,13.432316,0.699341,-0.700431,-40.132
179.913,13.430384,0.699797,-0.704364,-40.357
179.934,13.428320,0.700183,-0.708976,-40.621
179.957,13.426175,0.700833,-0.713192,-40.863
179.974,13.423837,0.702022,-0.716423,-41.048
179.998,13.421679,0.703283,-0.718689,-41.178
180.023,13.419738,0.704266,-0.721182,-41.321
180.037,13.417728,0.705326,-0.723695,-41.465
180.063,13.415626,0.706362,-0.726418,-41.621
180.087,13.413407,0.707374,-0.729616,-41.804
180.101,13.411008,0.708441,-0.733131,-42.005
180.120,13.408456,0.709556,-0.736888,-42.221
180.141,13.405718,0.710709,-0.741111,-42.463
180.165,13.402848,0.711958,-0.745761,-42.729
180.185,13.400125,0.713014,-0.750535,-43.003
180.202,13.397689,0.714016,-0.754797,-43.247
180.226,13.395149,0.715170,-0.759105,-43.494
180.243,13.392427,0.716383,-0.763520,-43.746
180.264,13.389516,0.717624,-0.768298,-44.020
180.285,13.386495,0.718862,-0.773643,-44.326
180.303,13.383321,0.719913,-0.780232,-44.704
180.324,13.380223,0.721064,-0.786458,-45.061
180.341,13.377018,0.722563,-0.791668,-45.359
180.366,13.373786,0.724145,-0.796692,-45.647
180.386,13.370544,0.725500,-0.802779,-45.996
180.404,13.367212,0.727231,-0.808041,-46.297
180.426,13.363785,0.729405,-0.812509,-46.553
180.444,13.360405,0.731336,-0.817424,-46.835
180.466,13.357057,0.733330,-0.822284,-47.113
180.487,13.353880,0.735466,-0.826228,-47.339
180.505,13.351174,0.737003,-0.830378,-47.577
180.530,13.348876,0.738382,-0.834107,-47.791
180.545,13.346932,0.739888,-0.836497,-47.928
180.566,13.345267,0.740761,-0.839270,-48.087
180.588,13.343957,0.741237,-0.842316,-48.261
180.605,13.342866,0.742222,-0.843372,-48.322
180.627,13.341902,0.742941,-0.844554,-48.389
180.645,13.340999,0.743393,-0.846286,-48.489
180.669,13.340326,0.743897,-0.847196,-48.541
180.693,13.339685,0.744583,-0.847517,-48.559
180.713,13.339259,0.745418,-0.846884,-48.523
180.736,13.338838,0.746193,-0.845912,-48.467
180.760,13.338228,0.746820,-0.846199,-48.484
180.774,13.337492,0.747080,-0.847962,-48.585
180.797,13.336500,0.747150,-0.851123,-48.766
180.815,13.335430,0.747050,-0.855072,-48.992
180.836,13.334594,0.747029,-0.858422,-49.184
180.856,13.334264,0.747671,-0.858887,-49.211
180.872,13.334115,0.748361,-0.858421,-49.184
180.893,13.333833,0.748768,-0.858461,-49.186
180.912,13.333245,0.748877,-0.859814,-49.264
180.936,13.332761,0.748939,-0.861172,-49.341
180.960,13.332311,0.749223,-0.861854,-49.381
180.975,13.331822,0.749655,-0.862346,-49.409
180.997,13.331307,0.750173,-0.862692,-49.429
181.015,13.330765,0.750708,-0.862983,-49.445
181.038,13.330283,0.751236,-0.863189,-49.457
181.060,13.329612,0.751872,-0.863618,-49.482
181.077,13.329014,0.752297,-0.864573,-49.536
181.101,13.328200,0.752581,-0.866466,-49.645
181.121,13.327304,0.752931,-0.868595,-49.767
181.140,13.326156,0.753331,-0.871300,-49.922
181.166,13.324911,0.753716,-0.874388,-50.099
181.183,13.323550,0.754210,-0.877821,-50.295
181.205,13.321946,0.754767,-0.881666,-50.516
181.224,13.320339,0.755406,-0.885493,-50.735
181.242,13.318640,0.755968,-0.890058,-50.997
181.265,13.316803,0.756643,-0.894474,-51.250
181.289,13.315004,0.757202,-0.899022,-51.510
181.306,13.313101,0.757787,-0.904000,-51.795
181.328,13.311077,0.758261,-0.909734,-52.124
181.344,13.308826,0.758829,-0.915870,-52.476
181.364,13.306850,0.759489,-0.920829,-52.760
181.382,13.304988,0.760287,-0.925089,-53.004
181.408,13.303261,0.760799,-0.929853,-53.277
181.425,13.302002,0.760821,-0.934138,-53.522
181.445,13.301105,0.760978,-0.936845,-53.677
181.466,13.300077,0.761497,-0.938962,-53.799
181.484,13.298895,0.762153,-0.941389,-53.938
181.506,13.297574,0.762823,-0.944423,-54.111
181.532,13.296007,0.763246,-0.948889,-54.367
181.547,13.294277,0.763964,-0.953355,-54.623
181.568,13.292597,0.765332,-0.956331,-54.794
181.593,13.291018,0.766848,-0.958271,-54.905
181.608,13.289450,0.768026,-0.961063,-55.065
181.631,13.287815,0.769343,-0.963649,-55.213
181.647,13.286052,0.770776,-0.966383,-55.370
181.671,13.284160,0.772326,-0.969270,-55.535
181.693,13.282237,0.773854,-0.972572,-55.724
181.713,13.280628,0.774843,-0.976001,-55.921
181.731,13.279796,0.775086,-0.978317,-56.053
181.751,13.279780,0.774508,-0.979842,-56.141
181.775,13.279913,0.773830,-0.981182,-56.218
181.798,13.279831,0.773849,-0.981591,-56.241
181.813,13.279638,0.774176,-0.981749,-56.250
181.834,13.279349,0.774641,-0.981472,-56.234
181.854,13.279129,0.775058,-0.981370,-56.228
181.874,13.278806,0.775228,-0.982150,-56.273
181.896,13.278490,0.775383,-0.982892,-56.316
181.916,13.278250,0.775621,-0.983254,-56.336
181.940,13.278019,0.775874,-0.983508,-56.351
181.955,13.277882,0.776092,-0.983596,-56.356
181.981,13.277812,0.776296,-0.983564,-56.354
182.000,13.277780,0.776435,-0.983548,-56.353
182.022,13.277736,0.776547,-0.983612,-56.357
182.044,13.277667,0.776605,-0.983763,-56.365
182.065,13.277589,0.776636,-0.983905,-56.374
182.086,13.277577,0.776657,-0.984211,-56.391
182.106,13.277563,0.776689,-0.984369,-56.400
182.128,13.277548,0.776726,-0.984511,-56.408
182.149,13.277561,0.776766,-0.984602,-56.414
182.171,13.277537,0.776778,-0.984804,-56.425
182.195,13.277547,0.776800,-0.984861,-56.428
182.215,13.277555,0.776804,-0.985038,-56.439
182.237,13.277577,0.776802,-0.985014,-56.437
182.263,13.277583,0.776846,-0.985178,-56.447
182.282,13.277608,0.776888,-0.985274,-56.452
182.303,13.277591,0.776868,-0.985565,-56.469
182.320,13.277580,0.776904,-0.985712,-56.477
182.341,13.277549,0.776952,-0.985674,-56.475
182.370,13.277514,0.777040,-0.985724,-56.478
182.383,13.277459,0.777077,-0.985861,-56.486
182.405,13.277416,0.777162,-0.985852,-56.485
182.424,13.277358,0.777228,-0.986058,-56.497
182.444,13.277277,0.777320,-0.986031,-56.495
182.467,13.277224,0.777423,-0.986209,-56.506
182.485,13.277116,0.777545,-0.986262,-56.509
182.505,13.277041,0.777678,-0.986390,-56.516
182.530,13.276925,0.777832,-0.986605,-56.528
182.548,13.276809,0.777988,-0.986701,-56.534
182.573,13.276690,0.778163,-0.986996,-56.551
182.598,13.276549,0.778355,-0.987079,-56.555
182.615,13.276318,0.778617,-0.987359,-56.572
182.637,13.276079,0.778906,-0.987505,-56.580
182.655,13.275811,0.779224,-0.987776,-56.595
182.678,13.275478,0.779644,-0.988145,-56.617
182.699,13.275067,0.780113,-0.988512,-56.638
182.730,13.274599,0.780639,-0.988973,-56.664
182.742,13.274063,0.781246,-0.989497,-56.694
182.768,13.273442,0.781937,-0.990116,-56.729
182.784,13.272721,0.782716,-0.990903,-56.775
182.804,13.271909,0.783595,-0.991797,-56.826
182.826,13.271005,0.784571,-0.992827,-56.885
182.847,13.270006,0.785687,-0.993886,-56.945
182.865,13.269038,0.786962,-0.994646,-56.989
182.882,13.268085,0.788106,-0.995468,-57.036
182.902,13.267120,0.789053,-0.996743,-57.109
182.926,13.266184,0.790053,-0.997856,-57.173
182.942,13.265334,0.791226,-0.998296,-57.198
182.963,13.264350,0.792361,-0.999226,-57.251
182.985,13.263106,0.793336,-1.001640,-57.390
183.005,13.261579,0.794144,-1.005439,-57.607
183.025,13.259906,0.794841,-1.010151,-57.877
183.044,13.258669,0.795954,-1.012257,-57.998
183.065,13.257612,0.797493,-1.012622,-58.019
183.089,13.256694,0.799051,-1.012642,-58.020
183.106,13.255470,0.800149,-1.014601,-58.132
183.126,13.254102,0.801152,-1.017349,-58.290
183.149,13.252638,0.802249,-1.020334,-58.461
183.169,13.251003,0.803449,-1.023736,-58.656
183.191,13.249179,0.804728,-1.027673,-58.881
183.209,13.247118,0.806224,-1.031878,-59.122
183.228,13.245039,0.807844,-1.036057,-59.362
183.251,13.242917,0.809211,-1.040840,-59.636
183.271,13.240690,0.810674,-1.046086,-59.936
183.293,13.238276,0.812216,-1.051888,-60.269
183.312,13.235623,0.813646,-1.058878,-60.669
183.345,13.233218,0.815647,-1.063574,-60.938
183.362,13.231075,0.817955,-1.067118,-61.141
183.385,13.228768,0.820059,-1.071444,-61.389
183.407,13.226530,0.822104,-1.075953,-61.648
183.428,13.224849,0.823757,-1.078966,-61.820
183.448,13.223865,0.825365,-1.079757,-61.865
183.468,13.222919,0.826727,-1.080961,-61.934
183.486,13.222095,0.827881,-1.081966,-61.992
183.507,13.221271,0.829097,-1.082831,-62.042
183.528,13.220388,0.830310,-1.083820,-62.098
183.565,13.219409,0.831568,-1.085026,-62.167
183.566,13.218335,0.832895,-1.086400,-62.246
183.584,13.217179,0.834349,-1.088079,-62.342
183.609,13.215865,0.835963,-1.089979,-62.451
183.628,13.214450,0.837701,-1.092233,-62.580
183.647,13.212964,0.839400,-1.094668,-62.720
183.670,13.211400,0.840839,-1.097914,-62.906
183.688,13.209893,0.841928,-1.101880,-63.133
183.706,13.208304,0.842698,-1.106287,-63.386
183.730,13.206581,0.843313,-1.111790,-63.701
183.747,13.204904,0.844073,-1.116818,-63.989
183.772,13.204064,0.845117,-1.118011,-64.057
183.789,13.203952,0.845728,-1.117454,-64.025
183.809,13.204012,0.845712,-1.117393,-64.022
183.829,13.203890,0.845598,-1.117975,-64.055
183.850,13.203692,0.845661,-1.118671,-64.095
183.873,13.203432,0.845865,-1.119308,-64.132
183.890,13.203179,0.846137,-1.119878,-64.164
183.915,13.202880,0.846434,-1.120388,-64.194
183.935,13.202567,0.846806,-1.120976,-64.227
183.952,13.202167,0.847243,-1.121665,-64.267
183.973,13.201721,0.847812,-1.122499,-64.314
183.996,13.201129,0.848539,-1.123365,-64.364
184.015,13.200401,0.849302,-1.124898,-64.452
184.035,13.199396,0.849861,-1.127759,-64.616
184.056,13.198124,0.850118,-1.132270,-64.874
184.082,13.196653,0.850295,-1.137588,-65.179
184.095,13.195197,0.850542,-1.142879,-65.482
184.116,13.193541,0.850711,-1.149188,-65.844
184.134,13.192423,0.850423,-1.154168,-66.129
184.155,13.192289,0.849812,-1.155892,-66.228
184.181,13.192544,0.849171,-1.156048,-66.237
184.197,13.192603,0.848782,-1.156648,-66.271
184.221,13.192710,0.848654,-1.157037,-66.293
184.236,13.192731,0.848769,-1.157131,-66.299
184.260,13.192730,0.849111,-1.157056,-66.294
184.282,13.192642,0.849417,-1.157105,-66.297
184.302,13.192498,0.849653,-1.157535,-66.322
184.321,13.192355,0.849896,-1.157721,-66.333
184.340,13.192205,0.850096,-1.157789,-66.336
184.359,13.192127,0.850240,-1.158112,-66.355
184.383,13.192032,0.850336,-1.158423,-66.373
184.401,13.191995,0.850482,-1.158474,-66.376
184.421,13.191971,0.850599,-1.158494,-66.377
184.442,13.191930,0.850656,-1.158520,-66.378
184.462,13.191922,0.850746,-1.158551,-66.380
184.485,13.191922,0.850778,-1.158740,-66.391
184.504,13.191887,0.850808,-1.159023,-66.407
184.523,13.191844,0.850768,-1.159394,-66.428
184.541,13.191898,0.850711,-1.159589,-66.440
184.562,13.191965,0.850679,-1.159790,-66.451
184.583,13.192007,0.850592,-1.159869,-66.456
184.601,13.192095,0.850506,-1.160036,-66.465
184.624,13.192128,0.850405,-1.160282,-66.479
184.648,13.192197,0.850350,-1.160197,-66.474
184.666,13.192259,0.850189,-1.160671,-66.502
184.693,13.192394,0.850057,-1.160692,-66.503
184.710,13.192420,0.849981,-1.160879,-66.513
184.729,13.192498,0.849784,-1.161055,-66.524
184.749,13.192589,0.849645,-1.161279,-66.536
184.769,13.192718,0.849453,-1.161331,-66.539
184.790,13.192768,0.849282,-1.161557,-66.552
184.811,13.192930,0.849059,-1.161832,-66.568
184.828,13.193069,0.848963,-1.161882,-66.571
184.849,13.193117,0.848869,-1.162419,-66.602
184.866,13.193174,0.848907,-1.162555,-66.609
184.890,13.193166,0.848945,-1.162923,-66.631
184.908,13.193197,0.848983,-1.162940,-66.632
184.930,13.193221,0.848923,-1.163471,-66.662
184.953,13.193293,0.848871,-1.163539,-66.666
184.967,13.193272,0.848799,-1.163921,-66.688
184.989,13.193374,0.848680,-1.163977,-66.691
185.012,13.193450,0.848588,-1.164355,-66.713
185.029,13.193534,0.848508,-1.164350,-66.712
185.050,13.193596,0.848397,-1.164943,-66.746
185.068,13.193714,0.848314,-1.165108,-66.756
185.090,13.193770,0.848276,-1.165264,-66.765
185.110,13.193787,0.848159,-1.165589,-66.783
185.130,13.193845,0.848182,-1.165750,-66.793
185.156,13.193856,0.848115,-1.166070,-66.811
185.183,13.193877,0.848053,-1.166392,-66.829
185.204,13.193996,0.847988,-1.166622,-66.843
185.228,13.194091,0.847924,-1.166674,-66.845
185.247,13.194149,0.847863,-1.167098,-66.870
185.270,13.194237,0.847830,-1.167294,-66.881
185.290,13.194295,0.847896,-1.167297,-66.881
185.309,13.194352,0.847910,-1.167132,-66.872
185.335,13.194447,0.847914,-1.167023,-66.865
185.356,13.194450,0.847966,-1.166879,-66.857
185.375,13.194417,0.847962,-1.167142,-66.872
185.396,13.194434,0.847939,-1.167448,-66.890
185.419,13.194428,0.847866,-1.167729,-66.906
185.438,13.194447,0.847821,-1.168130,-66.929
185.456,13.194519,0.847762,-1.168348,-66.941
185.475,13.194618,0.847734,-1.168542,-66.953
185.497,13.194638,0.847818,-1.168428,-66.946
185.517,13.194713,0.847811,-1.168295,-66.938
185.539,13.194819,0.847837,-1.168173,-66.931
185.558,13.194806,0.847824,-1.168271,-66.937
185.577,13.194823,0.847746,-1.168645,-66.958
185.598,13.194853,0.847671,-1.169026,-66.980
185.624,13.194913,0.847548,-1.169464,-67.005
185.645,13.194974,0.847470,-1.169637,-67.015
185.664,13.195037,0.847376,-1.169785,-67.024
185.688,13.195083,0.847332,-1.170166,-67.046
185.704,13.195143,0.847256,-1.170373,-67.057
185.728,13.195178,0.847161,-1.170792,-67.081
185.742,13.195296,0.847080,-1.171039,-67.096
185.765,13.195357,0.847038,-1.171263,-67.108
185.786,13.195419,0.846931,-1.171623,-67.129
185.804,13.195534,0.846859,-1.171841,-67.142
185.827,13.195545,0.846818,-1.172047,-67.153
185.845,13.195614,0.846718,-1.172265,-67.166
185.866,13.195689,0.846671,-1.172615,-67.186
185.886,13.195761,0.846566,-1.172903,-67.202
185.911,13.195808,0.846525,-1.173267,-67.223
185.938,13.195888,0.846419,-1.173561,-67.240
185.952,13.195989,0.846382,-1.173792,-67.253
185.972,13.195941,0.846325,-1.174140,-67.273
185.993,13.196026,0.846237,-1.174233,-67.279
186.010,13.196119,0.846106,-1.174697,-67.305
186.033,13.196184,0.846035,-1.174904,-67.317
186.053,13.196232,0.845925,-1.175441,-67.348
186.071,13.196327,0.845859,-1.175712,-67.363
186.092,13.196286,0.845854,-1.176064,-67.383
186.110,13.196340,0.845752,-1.176240,-67.394
186.132,13.196394,0.845661,-1.176626,-67.416
186.152,13.196463,0.845481,-1.176846,-67.428
186.173,13.196568,0.845372,-1.177105,-67.443
186.194,13.196649,0.845294,-1.177349,-67.457
