Time(s),X(m),Y(m),Theta(rad),Theta(deg)
5.036,2.379144,-0.806830,-0.539593,-30.916
5.058,2.380921,-0.807125,-0.536827,-30.758
5.076,2.382831,-0.807528,-0.534134,-30.604
5.100,2.384812,-0.808146,-0.531883,-30.475
5.121,2.386975,-0.808537,-0.528498,-30.281
5.143,2.389316,-0.808899,-0.524604,-30.058
5.162,2.391683,-0.809488,-0.520770,-29.838
5.182,2.394207,-0.810137,-0.517804,-29.668
5.201,2.396850,-0.810720,-0.514262,-29.465
5.223,2.399562,-0.811332,-0.510746,-29.264
5.247,2.402337,-0.811867,-0.506715,-29.033
5.265,2.405265,-0.812143,-0.501348,-28.725
5.292,2.408368,-0.812416,-0.495417,-28.385
5.309,2.411623,-0.813063,-0.491903,-28.184
5.331,2.414888,-0.813704,-0.487808,-27.949
5.348,2.418228,-0.814333,-0.483161,-27.683
5.367,2.421592,-0.814948,-0.477931,-27.383
5.389,2.424969,-0.815755,-0.473401,-27.124
5.407,2.428580,-0.816436,-0.468776,-26.859
5.428,2.432338,-0.817212,-0.463997,-26.585
5.455,2.436067,-0.818037,-0.459300,-26.316
5.471,2.439964,-0.818581,-0.453480,-25.983
5.495,2.444005,-0.818992,-0.447181,-25.622
5.517,2.447978,-0.819682,-0.442051,-25.328
5.536,2.451935,-0.820414,-0.437126,-25.045
5.556,2.455761,-0.821155,-0.432591,-24.786
5.577,2.459251,-0.822429,-0.430834,-24.685
5.594,2.462713,-0.823302,-0.427692,-24.505
5.617,2.465978,-0.823873,-0.424069,-24.297
5.635,2.469249,-0.824318,-0.419730,-24.049
5.656,2.472007,-0.824874,-0.416834,-23.883
5.679,2.474622,-0.825340,-0.413533,-23.694
5.697,2.477010,-0.825775,-0.411001,-23.549
5.720,2.478886,-0.826265,-0.409614,-23.469
5.738,2.480497,-0.826548,-0.408160,-23.386
5.757,2.481594,-0.826778,-0.406854,-23.311
5.776,2.482551,-0.826674,-0.404674,-23.186
5.797,2.482980,-0.826492,-0.403666,-23.128
5.817,2.482715,-0.826463,-0.404021,-23.149
5.835,2.482455,-0.826121,-0.402961,-23.088
5.860,2.482215,-0.825650,-0.401631,-23.012
5.883,2.481799,-0.825083,-0.399780,-22.906
5.910,2.481461,-0.824218,-0.397281,-22.763
5.927,2.481222,-0.823117,-0.393329,-22.536
5.948,2.481150,-0.821654,-0.387810,-22.220
5.971,2.480908,-0.820282,-0.382210,-21.899
5.991,2.480602,-0.818643,-0.376267,-21.559
6.013,2.480168,-0.816820,-0.369515,-21.172
6.030,2.479363,-0.815161,-0.364272,-20.871
6.052,2.478382,-0.813602,-0.359098,-20.575
6.070,2.477603,-0.812232,-0.354642,-20.320
6.093,2.476864,-0.811125,-0.350739,-20.096
6.115,2.475991,-0.809869,-0.346928,-19.877
6.133,2.474768,-0.808673,-0.343588,-19.686
6.155,2.473446,-0.807689,-0.341326,-19.557
6.175,2.472364,-0.806992,-0.339970,-19.479
6.193,2.471473,-0.806069,-0.337682,-19.348
6.217,2.470927,-0.805804,-0.337011,-19.309
6.234,2.470627,-0.805459,-0.335722,-19.235
6.257,2.470201,-0.804968,-0.333973,-19.135
6.278,2.469778,-0.804753,-0.333508,-19.109
6.299,2.469547,-0.804645,-0.333206,-19.091
6.320,2.469226,-0.804474,-0.332317,-19.040
6.338,2.468965,-0.804248,-0.331673,-19.003
6.359,2.468863,-0.804076,-0.330860,-18.957
6.378,2.469108,-0.803979,-0.330127,-18.915
6.400,2.469471,-0.804065,-0.329732,-18.892
6.420,2.469685,-0.804113,-0.329149,-18.859
6.439,2.469708,-0.804075,-0.328632,-18.829
6.460,2.469566,-0.804031,-0.328295,-18.810
6.478,2.469355,-0.803864,-0.327527,-18.766
6.499,2.469034,-0.803604,-0.326116,-18.685
6.519,2.468586,-0.803220,-0.324897,-18.615
6.541,2.468008,-0.802774,-0.323461,-18.533
6.562,2.467318,-0.802227,-0.321691,-18.432
6.579,2.466603,-0.801637,-0.319922,-18.330
6.606,2.465768,-0.800898,-0.317928,-18.216
6.625,2.465157,-0.800330,-0.316382,-18.127
6.642,2.464645,-0.799900,-0.315089,-18.053
6.664,2.464353,-0.799526,-0.314104,-17.997
6.684,2.464041,-0.799205,-0.313014,-17.934
6.705,2.463718,-0.798797,-0.312052,-17.879
6.726,2.463217,-0.798348,-0.310637,-17.798
6.743,2.462739,-0.797774,-0.308935,-17.701
6.764,2.462104,-0.797062,-0.306771,-17.577
6.783,2.461430,-0.796129,-0.303905,-17.412
6.805,2.460559,-0.795028,-0.300620,-17.224
6.826,2.459706,-0.793785,-0.296502,-16.988
6.843,2.458917,-0.792531,-0.292433,-16.755
6.865,2.458463,-0.791351,-0.287992,-16.501
6.885,2.458437,-0.790304,-0.283704,-16.255
6.905,2.458530,-0.789011,-0.278056,-15.931
6.929,2.458875,-0.787391,-0.270911,-15.522
6.948,2.459630,-0.785868,-0.263778,-15.113
6.968,2.460636,-0.784309,-0.255871,-14.660
6.989,2.461672,-0.782495,-0.246910,-14.147
7.006,2.463027,-0.780909,-0.239136,-13.701
7.029,2.464320,-0.779307,-0.230832,-13.226
7.044,2.465899,-0.777701,-0.222691,-12.759
7.065,2.467888,-0.776429,-0.215383,-12.341
7.083,2.469555,-0.775013,-0.207630,-11.896
7.108,2.471123,-0.773927,-0.201905,-11.568
7.123,2.472998,-0.773263,-0.197336,-11.306
7.146,2.474361,-0.772708,-0.193747,-11.101
7.165,2.475187,-0.772356,-0.191491,-10.972
7.184,2.476102,-0.771664,-0.187673,-10.753
7.204,2.477003,-0.770592,-0.182599,-10.462
7.229,2.477585,-0.770348,-0.180932,-10.367
7.243,2.477873,-0.770101,-0.179489,-10.284
7.267,2.478284,-0.769777,-0.177726,-10.183
7.287,2.478741,-0.769680,-0.176765,-10.128
7.308,2.479123,-0.769564,-0.176154,-10.093
7.332,2.479433,-0.769485,-0.175648,-10.064
7.352,2.479520,-0.769606,-0.175828,-10.074
7.377,2.479641,-0.769558,-0.175486,-10.055
7.396,2.479692,-0.769608,-0.175511,-10.056
7.418,2.479691,-0.769620,-0.175443,-10.052
7.441,2.479676,-0.769591,-0.175377,-10.048
7.465,2.479632,-0.769577,-0.175447,-10.052
7.485,2.479575,-0.769543,-0.175095,-10.032
7.504,2.479584,-0.769497,-0.174880,-10.020
7.527,2.479561,-0.769501,-0.174926,-10.023
7.548,2.479465,-0.769501,-0.174760,-10.013
7.571,2.479477,-0.769366,-0.174356,-9.990
7.591,2.479478,-0.769337,-0.174119,-9.976
7.612,2.479449,-0.769298,-0.174083,-9.974
7.636,2.479347,-0.769239,-0.173789,-9.957
7.657,2.479223,-0.769196,-0.173494,-9.940
7.675,2.479120,-0.769073,-0.173065,-9.916
7.697,2.478994,-0.769044,-0.173107,-9.918
7.722,2.478842,-0.768956,-0.172705,-9.895
7.741,2.478702,-0.768753,-0.172068,-9.859
7.778,2.478510,-0.768665,-0.171888,-9.848
7.796,2.478260,-0.768590,-0.171725,-9.839
7.820,2.477991,-0.768404,-0.171214,-9.810
7.840,2.477698,-0.768098,-0.170156,-9.749
7.858,2.477403,-0.767688,-0.169000,-9.683
7.876,2.477048,-0.767258,-0.167553,-9.600
7.896,2.476695,-0.766504,-0.164871,-9.446
7.915,2.476387,-0.765415,-0.160599,-9.202
7.934,2.475852,-0.764842,-0.158336,-9.072
7.958,2.475117,-0.764591,-0.157654,-9.033
7.975,2.474414,-0.764078,-0.156254,-8.953
7.997,2.473557,-0.763734,-0.155177,-8.891
8.017,2.472635,-0.763495,-0.154569,-8.856
8.041,2.471610,-0.763191,-0.153840,-8.814
8.061,2.470530,-0.762808,-0.152700,-8.749
8.082,2.469455,-0.762346,-0.151345,-8.671
8.103,2.468487,-0.762014,-0.150189,-8.605
8.122,2.467429,-0.761350,-0.147896,-8.474
8.138,2.466330,-0.760604,-0.145358,-8.328
8.160,2.465230,-0.759443,-0.141071,-8.083
8.178,2.464184,-0.757914,-0.135236,-7.748
8.198,2.463319,-0.756214,-0.128417,-7.358
8.221,2.462287,-0.754938,-0.123497,-7.076
8.244,2.460867,-0.754622,-0.122608,-7.025
8.263,2.459675,-0.754417,-0.122558,-7.022
8.286,2.458842,-0.754534,-0.123438,-7.072
8.307,2.458255,-0.754657,-0.124215,-7.117
8.324,2.457817,-0.754676,-0.124472,-7.132
8.345,2.457583,-0.754738,-0.124807,-7.151
8.365,2.457477,-0.754807,-0.124916,-7.157
8.387,2.457520,-0.754751,-0.124593,-7.139
8.409,2.457730,-0.754759,-0.124279,-7.121
8.428,2.458097,-0.754712,-0.123769,-7.091
8.452,2.458584,-0.754567,-0.122747,-7.033
8.470,2.459263,-0.754390,-0.121375,-6.954
8.489,2.460136,-0.754218,-0.120174,-6.885
8.510,2.461144,-0.753963,-0.118463,-6.787
8.528,2.462250,-0.753584,-0.116335,-6.666
8.549,2.463477,-0.753324,-0.114316,-6.550
8.567,2.464925,-0.753203,-0.112845,-6.466
8.591,2.466488,-0.753050,-0.111132,-6.367
8.606,2.468058,-0.752467,-0.107773,-6.175
8.626,2.469539,-0.751556,-0.102705,-5.885
8.651,2.471248,-0.750782,-0.098837,-5.663
8.670,2.473009,-0.750520,-0.096401,-5.523
8.698,2.474783,-0.750078,-0.093558,-5.360
8.721,2.476738,-0.749607,-0.090675,-5.195
8.738,2.478872,-0.749068,-0.087478,-5.012
8.757,2.481168,-0.748548,-0.084287,-4.829
8.781,2.483524,-0.747713,-0.079815,-4.573
8.803,2.485755,-0.746462,-0.073587,-4.216
8.821,2.488259,-0.745407,-0.068074,-3.900
8.841,2.491094,-0.744769,-0.064305,-3.684
8.859,2.494034,-0.744090,-0.060455,-3.464
8.880,2.496967,-0.743162,-0.055686,-3.191
8.898,2.499568,-0.742662,-0.052201,-2.991
8.921,2.501752,-0.742331,-0.049885,-2.858
8.941,2.503461,-0.741907,-0.047591,-2.727
8.962,2.504950,-0.741611,-0.045800,-2.624
8.985,2.506278,-0.741178,-0.043718,-2.505
9.001,2.507582,-0.740819,-0.041896,-2.400
9.022,2.509025,-0.740328,-0.039740,-2.277
9.046,2.510478,-0.739734,-0.036602,-2.097
9.063,2.511838,-0.738753,-0.032174,-1.843
9.084,2.513156,-0.737516,-0.026733,-1.532
9.105,2.514548,-0.736161,-0.020581,-1.179
9.124,2.516390,-0.735305,-0.016567,-0.949
9.142,2.518572,-0.734748,-0.013832,-0.793
9.164,2.520877,-0.734091,-0.010723,-0.614
9.183,2.523238,-0.733376,-0.007197,-0.412
9.206,2.525786,-0.732798,-0.004376,-0.251
9.225,2.528425,-0.732127,-0.001250,-0.072
9.245,2.531124,-0.731303,0.002645,0.152
9.263,2.533936,-0.730449,0.006374,0.365
